sku,product_name,category,price,supplier_id,category_clean,sku_clean,price_clean
ITM00001,Phone Mount,Accessories,146.14,SUP018,Accessories,SKU00001,146.14
SKU00002,Multimeter Digital,Tools,465.87,SUP022,Tools,SKU00002,465.87
PRO00003,Accounting Software Basic,Software,970.67,SUP008,Software,SKU00003,970.67
PROD00004,Circuit Board PCB,Components,933.5,SUP011,Components,SKU00004,933.5
PRO00005,Multimeter Digital,Tools,64.86,SUP015,Tools,SKU00005,64.86
PROD00006,LED Diode Red,Components,321.0,SUP025,Components,SKU00006,321.0
PRO00007,Laptop Stand Deluxe,Electronics,227.6,SUP020,Electronics,SKU00007,227.6
PROD00008,Database Management Tool,Software,73.9,SUP009,Software,SKU00008,73.9
SKU00009,Sensor Module,Components,250.03,SUP012,Components,SKU00009,250.03
PRO00010,USB Flash Drive 64GB,Electronics,254.95,SUP005,Electronics,SKU00010,254.95
ITM00011,HDMI Cable 2m,Electronics,313.33,SUP030,Electronics,SKU00011,313.33
PRO00012,Circuit Board PCB,Components,664.15,SUP013,Components,SKU00012,664.15
PRO00013,Video Editing Software,Software,655.67,SUP020,Software,SKU00013,655.67
PRO00014,Stepper Motor,Components,211.0,SUP018,Components,SKU00014,211.0
ITM00015,Transistor NPN Pro,Components,156.9,SUP020,Components,SKU00015,156.9
PROD00016,Mounting Plate,Hardware,924.28,SUP004,Hardware,SKU00016,924.28
PRO00017,Resistor Pack 1K Standard, Components ,495.99,SUP007,Components,SKU00017,495.99
PROD00018,Screen Protector,Accessories,79.95,SUP010,Accessories,SKU00018,79.95
PRO00019,Project Management Suite,Software,71.2,SUP006,Software,SKU00019,71.2
SKU00020,Steel Bolt M8,Hardware,714.65,SUP022,Hardware,SKU00020,714.65
ITM00021,Laptop Stand,Electronics,517.34,SUP028,Electronics,SKU00021,517.34
PRO00022,IC Chip 555 Timer,Components,65.97,SUP004,Components,SKU00022,65.97
ITM00023,Cloud Storage 1TB Plus,Software,689.72,SUP022,Software,SKU00023,689.72
PROD00024,Velcro Strips Standard,Accessories,144.52,SUP018,Accessories,SKU00024,144.52
ITM00025,Anti-Glare Filter,Accessories,507.16,SUP018,Accessories,SKU00025,507.16
SKU00026,Office Productivity Pack Standard,Software,762.23,SUP013,Software,SKU00026,762.23
PRO00027,Steel Bolt M8,Hardware,479.45,SUP028,Hardware,SKU00027,479.45
PRO00028,Circuit Board PCB,Components,344.01,SUP001,Components,SKU00028,344.01
